StateAbbrev,fips5,year,drylandAg,pasture,activeIrr_acres,cumLoss_drylandAg_acres,cumLoss_pasture_acres
NM,35041,2034,441.79851097766726,152.7814720804016,98099.12553551885,11721.638202782335,3549.7296763753106
NM,35041,2035,303.37368180448334,88.03915298647888,97707.71270072788,12025.011884586818,3637.7688293617894
NM,35041,2036,339.2136159768024,219.8818479940213,97148.61723675705,12364.22550056362,3857.650677355811
NM,35041,2037,346.85700007296174,138.92507354847137,96662.83516313562,12711.082500636581,3996.5757509042824
NM,35041,2038,341.8484813856821,233.06808523273287,96087.91859651721,13052.930982022264,4229.643836137015
NM,35041,2039,402.11597961243194,72.22858010939453,95613.57403679538,13455.046961634696,4301.87241624641
NM,35041,2040,330.99641499294194,201.55798832077608,95081.01963348166,13786.043376627638,4503.430404567185
NM,35041,2041,269.864676126565,147.8753450574051,94663.27961229769,14055.908052754203,4651.305749624591
NM,35041,2042,259.53352029744843,171.417206723555,94232.32888527669,14315.44157305165,4822.722956348146
NM,35041,2043,277.96247922914097,146.93214518191255,93807.43426086564,14593.404052280792,4969.655101530058
NM,35041,2044,203.0715608872793,205.4902348276236,93398.87246515074,14796.475613168072,5175.145336357682
NM,35041,2045,291.02622870323944,160.20158275255096,92947.64465369494,15087.501841871312,5335.346919110233
NM,35041,2046,210.38355005060455,154.8369094784198,92582.42419416591,15297.885391921915,5490.183828588652
NM,35041,2047,265.44987417079193,212.91349022158906,92104.06082977355,15563.335266092707,5703.097318810242
NM,35041,2048,183.7271432559784,150.63188787345064,91769.7017986441,15747.062409348686,5853.729206683693
NM,35041,2049,238.69307426317548,156.13422994300538,91374.87449443793,15985.755483611862,6009.863436626698
NM,35041,2050,316.83303801089147,164.66776229307405,90893.37369413396,16302.588521622753,6174.531198919772
NM,35041,2051,237.64786424580248,151.816716365824,90503.90911352233,16540.236385868557,6326.347915285596
NM,35041,2052,274.28385487878535,204.16409646635347,90025.4611621772,16814.52024074734,6530.512011751949
NM,35041,2053,270.07230845562134,118.03367977936982,89637.35517394221,17084.59254920296,6648.545691531319
NM,35041,2054,232.7950159433191,135.91939958906616,89268.64075840982,17317.38756514628,6784.465091120385
NM,35041,2055,229.26227395667635,195.4159821702527,88843.9625022829,17546.649839102956,6979.881073290638
NM,35041,2056,195.40400982441165,120.07302073898622,88528.4854717195,17742.053848927368,7099.954094029624
NM,35041,2057,230.2797945822629,98.82221415001924,88199.38346298721,17972.33364350963,7198.776308179643
NM,35041,2058,159.6038378539618,101.80139495136261,87937.97823018189,18131.937481363595,7300.577703131006
NM,35041,2059,171.0963101739151,156.09480698263795,87610.78711302533,18303.03379153751,7456.6725101136435
NM,35041,2060,217.87449520196992,260.11106630787754,87132.80155151548,18520.90828673948,7716.7835764215215
NM,35041,2061,177.22195367202576,140.32708051988465,86815.25251732358,18698.130240411505,7857.110656941406
NM,35041,2062,236.81951582306976,123.61247332160615,86454.8205281789,18934.949756234575,7980.7231302630125
NM,35041,2063,265.7078500865155,174.8678470031192,86014.24483108927,19200.65760632109,8155.590977266132
NM,35041,2064,119.129676120654,157.4276286221351,85737.68752634648,19319.787282441743,8313.018605888266
NM,35041,2065,237.43403001744386,110.28202018137421,85389.97147614765,19557.221312459187,8423.30062606964
NM,35041,2066,294.70369108738953,127.19888779924317,84968.06889726102,19851.925003546577,8550.499513868885
NM,35041,2067,117.8496307750644,127.97362415770966,84722.24564232826,19969.774634321642,8678.473138026593
NM,35041,2068,80.56746739548402,116.61610118112,84525.06207375164,20050.342101717124,8795.089239207713
NM,35041,2069,254.40282558069245,93.27461060085999,84177.3846375701,20304.74492729782,8888.363849808573
NM,35041,2070,97.10232829923676,102.63068124678834,83977.65162802406,20401.847255597055,8990.994531055361
NM,35041,2071,101.65523005138459,125.41319681914857,83750.58320115354,20503.502485648438,9116.40772787451
NM,35041,2072,166.15020384233094,174.75932949403017,83409.67366781717,20669.65268949077,9291.16705736854
NM,35041,2073,149.0464798696628,149.11383242164337,83111.51335552587,20818.699169360432,9440.280889790183
NM,35041,2074,116.454587175495,41.1508536931427,82953.90791465723,20935.15375653593,9481.4317434833265
NM,35041,2075,119.68263430882172,95.66528099724275,82738.55999935117,21054.83639084475,9577.09702448057
NM,35041,2076,88.90861337571411,92.71042616287446,82556.94095981258,21143.745004220465,9669.807450643444
NM,35041,2077,95.9657949588385,85.03400061107118,82375.94116424267,21239.710799179302,9754.841451254515
NM,35041,2078,129.48939340563996,189.59069768032165,82056.8610731567,21369.200192584944,9944.432148934837
NM,35041,2079,115.51735353439697,96.27304417563234,81845.07067544668,21484.71754611934,10040.705193110469
NM,35041,2080,100.4076964029474,97.53293512523408,81647.1300439185,21585.12524252229,10138.238128235704
NM,35041,2081,63.723299640169074,75.67480539300202,81507.73193888532,21648.848542162457,10213.912933628706
NM,35041,2082,91.00971969605988,46.313912362875065,81370.40830682639,21739.858261858517,10260.22684599158
NM,35041,2083,67.36877382658997,110.99453265334168,81192.04500034646,21807.227035685104,10371.221378644921
NM,35041,2084,61.70401854198609,44.294968213715826,81086.04601359076,21868.93105422709,10415.516346858638
NM,35041,2085,60.79423393179474,99.05610054072847,80926.19567911823,21929.725288158887,10514.572447399367
NM,35041,2086,129.97474736695312,30.86712092417908,80765.3538108271,22059.70003552584,10545.439568323545
NM,35041,2087,55.07484232000702,73.3186819165509,80636.96028659055,22114.774877845848,10618.758250240096
NM,35041,2088,11.95535035914154,40.38951281166321,80584.61542341975,22126.73022820499,10659.14776305176
NM,35041,2089,109.43118765415619,89.58897651287842,80385.5952592527,22236.161415859144,10748.736739564638
NM,35041,2090,128.79646664428864,65.92952441846558,80190.86926818994,22364.957882503433,10814.666263983103
NM,35041,2091,87.54658227417146,16.157074852834167,80087.16561106296,22452.504464777605,10830.823338835937
NM,35041,2092,76.60245065425812,107.34505807768097,79903.21810233101,22529.10691543186,10938.16839691362
NM,35041,2093,70.36740726924927,46.25851006147034,79786.59218500028,22599.474322701113,10984.426906975088
NM,35041,2094,98.08766033133392,101.76234139668152,79586.74218327226,22697.561983032447,11086.189248371771
NM,35041,2095,149.46774032307098,65.82656714892883,79371.44787580028,22847.029723355517,11152.0158155207
NM,35041,2096,81.75898355905426,95.03156217147827,79194.65733006975,22928.788706914573,11247.047377692177
NM,35041,2097,33.4029948879776,36.223811804901125,79125.03052337686,22962.19170180255,11283.271189497078
NM,35041,2098,79.19507702311645,52.68917715726258,78993.14626919647,23041.386778825665,11335.96036665434
NM,35041,2099,62.97426972766663,90.36686543584901,78839.80513403297,23104.36104855333,11426.32723209019
NM,35041,2100,100.97240222886323,22.59858641036011,78716.23414539374,23205.333450782196,11448.925818500551
OK,40139,2018,220.58257670662965,0.8873027306399537,242397.76909897447,220.58257670662965,0.8873027306399537
OK,40139,2019,97.59768384447419,3.1950326142996217,242296.97638251568,318.18026055110386,4.082335344939575
OK,40139,2020,172.48014824646148,10.472038995458375,242114.02419527379,490.6604087975653,14.55437434039795
OK,40139,2021,113.03113123611786,4.081609383509521,241996.91145465415,603.6915400336832,18.635983723907472
OK,40139,2022,223.22383452795685,16.3216361650412,241757.36598396115,826.9153745616401,34.95761988894867
OK,40139,2023,449.54464941381167,42.576136857579655,241265.24519768977,1276.4600239754518,77.53375674652833
OK,40139,2024,615.8243664554093,114.05602882976503,240535.3648024046,1892.284390430861,191.58978557629334
OK,40139,2025,516.0291096447138,160.8331152329715,239858.5025775269,2408.3135000755747,352.42290080926483
OK,40139,2026,612.5385418324564,303.0682689681641,238942.8957667263,3020.8520419080314,655.4911697774289
OK,40139,2027,414.5332902201999,121.65220440853425,238406.71027209755,3435.3853321282313,777.1433741859631
OK,40139,2028,710.0981558215547,143.24164653096742,237553.37046974502,4145.483487949786,920.3850207169306
OK,40139,2029,804.4941369059235,238.84828259204622,236510.02805024706,4949.977624855709,1159.2333033089767
OK,40139,2030,884.9365650389142,180.27414240492857,235444.8173428032,5834.914189894624,1339.5074457139053
OK,40139,2031,1234.3897258936508,278.8657695507227,233931.56184735883,7069.303915788274,1618.373215264628
OK,40139,2032,1041.080885504942,365.8118900080365,232524.66907184586,8110.384801293217,1984.1851052726645
OK,40139,2033,885.9189475868799,287.7410376488193,231351.00908661017,8996.303748880096,2271.926142921484
OK,40139,2034,1253.278787080857,225.99465453518647,229871.73564499413,10249.582535960953,2497.9207974566702
OK,40139,2035,987.4901179287192,320.0078018487445,228564.23772521666,11237.072653889672,2817.928599305415
OK,40139,2036,882.0044139265927,282.65078453694366,227399.5825267531,12119.077067816264,3100.5793838423588
OK,40139,2037,1035.9201679831488,300.11211182529115,226063.55024694468,13154.997235799414,3400.6914956676496
OK,40139,2038,802.0972139416242,290.3909234072696,224971.06210959578,13957.094449741038,3691.0824190749195
OK,40139,2039,811.065584559379,239.71965548107576,223920.27686955532,14768.160034300417,3930.802074555995
OK,40139,2040,881.9360095112883,293.4915970226801,222744.84926302137,15650.096043811705,4224.2936715786755
OK,40139,2041,962.6277412989759,354.08841592850865,221428.13310579388,16612.72378511068,4578.382087507184
OK,40139,2042,1225.1344734695342,348.80779705502624,219854.1908352693,17837.858258580214,4927.18988456221
OK,40139,2043,1018.8741431401205,249.9283292767743,218585.38836285242,18856.732401720335,5177.118213838984
OK,40139,2044,1207.6046528760521,237.63321525874574,217140.1504947176,20064.337054596388,5414.75142909773
OK,40139,2045,1660.6481414411705,247.5042208109668,215231.9981324655,21724.98519603756,5662.255649908697
OK,40139,2046,1606.7308538615018,302.146956104339,213323.12032249966,23331.71604989906,5964.402606013035
OK,40139,2047,1835.5969770123424,180.54272773661282,211306.9806177507,25167.313026911404,6144.945333749649
OK,40139,2048,1749.5674365730067,194.15443225082797,209363.25874892686,26916.88046348441,6339.099766000477
OK,40139,2049,1638.2233379819718,146.0246312410431,207579.01077970385,28555.103801466383,6485.1243972415195
OK,40139,2050,1664.8313949579526,175.0961523259067,205739.08323241997,30219.935196424332,6660.220549567426
OK,40139,2051,1963.1264512413009,136.2808022674388,203639.67597891123,32183.061647665636,6796.501351834865
OK,40139,2052,1706.1523908857262,239.99817923932864,201693.5254087862,33889.21403855136,7036.499531074194
OK,40139,2053,1895.654195009255,259.57390258445986,199538.29731119247,35784.86823356061,7296.073433658654
OK,40139,2054,1759.934866973715,138.94208944113763,197639.42035477763,37544.80310053433,7435.015523099792
OK,40139,2055,1902.393470444824,194.20379244136964,195542.82309189142,39447.196570979155,7629.219315541161
OK,40139,2056,1857.361063858473,176.85056708860262,193508.61146094435,41304.55763483763,7806.069882629764
OK,40139,2057,2304.62709532377,128.88290407584688,191075.10146154475,43609.184730161396,7934.95278670561
